customer_id,loyalty_tier,signup_date,city,province
C0000042,silver,2023-04-18,Kitchener,ON
C0000043,none,2025-12-25,Niagara Falls,ON
C0000044,bronze,2024-10-01,Barrie,ON
C0000045,gold,2024-11-06,Burlington,ON
C0000046,silver,2024-08-24,Vaughan,ON
C0000047,silver,2018-07-24,Markham,ON
C0000048,silver,2022-05-31,Vaughan,ON
C0000049,bronze,2022-07-12,Niagara Falls,ON
C0000050,bronze,2018-10-22,Mississauga,ON
C0000051,silver,2019-03-07,St. Catharines,ON
C0000052,bronze,2022-07-10,Peterborough,ON
C0000053,silver,2023-09-23,Kingston,ON
C0000054,silver,2019-09-04,Waterloo,ON
C0000055,gold,2021-11-15,Barrie,ON
C0000056,bronze,2018-08-08,Kingston,ON
C0000057,silver,2018-11-19,Waterloo,ON
C0000058,none,2022-08-23,Barrie,ON
C0000059,none,2022-06-16,Brampton,ON
C0000060,bronze,2024-01-01,Peterborough,ON
C0000061,none,2025-04-14,Hamilton,ON
C0000062,gold,2019-07-10,Ottawa,ON
C0000063,gold,2020-09-23,Sudbury,ON
C0000064,none,2024-11-05,London,ON
C0000065,gold,2018-05-29,Mississauga,ON
C0000066,bronze,2024-08-17,Burlington,ON
C0000067,silver,2025-07-24,St. Catharines,ON
C0000068,gold,2018-10-20,Sudbury,ON
C0000069,bronze,2019-02-19,Sudbury,ON
C0000070,none,2023-06-23,Windsor,ON
C0000071,none,2021-10-20,Sudbury,ON
C0000072,bronze,2025-11-25,Niagara Falls,ON
C0000073,gold,2022-05-11,St. Catharines,ON
C0000074,bronze,2023-03-30,Peterborough,ON
C0000075,bronze,2019-11-24,Guelph,ON
C0000076,none,2020-08-06,London,ON
C0000077,gold,2019-06-03,Niagara Falls,ON
C0000078,bronze,2019-03-06,Guelph,ON
C0000079,silver,2018-11-27,Ottawa,ON
C0000080,silver,2025-02-21,London,ON
C0000081,none,2018-07-24,Toronto,ON
C0000082,none,2022-02-18,Brampton,ON
C0000083,bronze,2022-01-24,Markham,ON
C0000084,bronze,2018-06-13,Niagara Falls,ON
C0000085,silver,2024-09-26,Kitchener,ON
C0000086,silver,2022-01-03,Kingston,ON
C0000087,none,2019-01-06,Vaughan,ON
C0000088,bronze,2019-01-12,Kingston,ON
C0000089,none,2023-08-10,Waterloo,ON
C0000090,none,2022-12-16,Mississauga,ON
C0000091,silver,2021-04-20,Burlington,ON
C0000092,silver,2021-03-29,Hamilton,ON
C0000093,silver,2018-04-13,Barrie,ON
C0000094,none,2018-04-04,Sudbury,ON
C0000095,bronze,2022-04-16,Peterborough,ON
C0000096,bronze,2020-11-28,Windsor,ON
C0000097,platinum,2020-01-07,London,ON
C0000098,silver,2021-01-12,Hamilton,ON
C0000099,gold,2022-11-04,Kingston,ON
C0000100,none,2020-05-06,Mississauga,ON
C0000101,bronze,2020-10-17,Oakville,ON
C0000102,silver,2020-04-06,Brampton,ON
C0000103,bronze,2023-05-02,London,ON
C0000104,silver,2018-06-10,Hamilton,ON
C0000105,bronze,2025-05-07,Vaughan,ON
C0000106,platinum,2022-06-09,Burlington,ON
C0000107,none,2019-12-16,Barrie,ON
C0000108,gold,2024-01-29,Windsor,ON
C0000109,bronze,2025-07-09,Peterborough,ON
C0000110,bronze,2018-06-20,Sudbury,ON
C0000111,bronze,2019-08-20,Barrie,ON
C0000112,none,2019-02-25,Burlington,ON
C0000113,platinum,2018-07-26,Barrie,ON
C0000114,gold,2023-11-29,Sudbury,ON
C0000115,platinum,2019-07-18,Thunder Bay,ON
C0000116,platinum,2021-01-25,Burlington,ON
C0000117,silver,2024-07-09,Vaughan,ON
C0000118,bronze,2022-11-23,Kitchener,ON
C0000119,gold,2023-06-03,Sudbury,ON
C0000120,none,2018-10-13,Barrie,ON
C0000121,gold,2025-10-07,Windsor,ON
C0000122,bronze,2018-08-30,Markham,ON
C0000123,silver,2023-09-06,St. Catharines,ON
C0000124,bronze,2023-02-12,Guelph,ON
C0000125,bronze,2021-04-20,Windsor,ON
C0000126,none,2024-09-15,Burlington,ON
C0000127,bronze,2025-02-20,Burlington,ON
C0000128,bronze,2018-07-25,Mississauga,ON
C0000129,none,2025-08-31,Hamilton,ON
C0000130,none,2019-12-06,Guelph,ON
C0000131,bronze,2024-05-02,Oakville,ON
C0000132,bronze,2024-07-26,Thunder Bay,ON
C0000133,gold,2022-06-15,Mississauga,ON
C0000134,none,2024-11-27,Kitchener,ON
C0000135,bronze,2024-08-09,London,ON
C0000136,none,2022-03-08,Peterborough,ON
C0000137,bronze,2019-06-08,Barrie,ON
C0000138,bronze,2021-06-23,Windsor,ON
C0000139,silver,2025-03-15,Waterloo,ON
C0000140,bronze,2019-08-16,Guelph,ON
C0000141,bronze,2025-12-30,London,ON
C0000142,none,2019-06-15,Markham,ON
C0000143,bronze,2023-04-28,Niagara Falls,ON
C0000144,bronze,2023-02-16,Oakville,ON
C0000145,silver,2019-07-27,Niagara Falls,ON
C0000146,bronze,2021-10-12,Kitchener,ON
C0000147,silver,2019-02-27,Vaughan,ON
C0000148,bronze,2020-12-01,Oakville,ON
C0000149,none,2025-09-04,Peterborough,ON
C0000150,none,2018-06-08,Burlington,ON
C0000151,none,2024-12-21,Vaughan,ON
C0000152,bronze,2023-06-03,Guelph,ON
C0000153,gold,2023-12-28,Ottawa,ON
C0000154,silver,2020-04-04,Peterborough,ON
C0000155,bronze,2025-08-05,Ottawa,ON
C0000156,none,2020-01-11,Thunder Bay,ON
C0000157,gold,2022-01-10,Kitchener,ON
C0000158,none,2018-04-18,Hamilton,ON
C0000159,bronze,2025-02-06,Barrie,ON
C0000160,gold,2023-08-21,Oakville,ON
C0000161,bronze,2019-04-21,Hamilton,ON
C0000162,none,2023-04-19,Peterborough,ON
C0000163,none,2019-06-19,Barrie,ON
C0000164,silver,2021-07-22,Burlington,ON
C0000165,none,2022-02-06,Ottawa,ON
C0000166,silver,2025-06-14,Sudbury,ON
C0000167,bronze,2020-08-29,Kingston,ON
C0000168,bronze,2018-02-07,Toronto,ON
C0000169,none,2021-06-17,Waterloo,ON
C0000170,gold,2025-05-31,Markham,ON
C0000171,bronze,2024-05-21,Peterborough,ON
C0000172,silver,2018-06-22,Mississauga,ON
C0000173,bronze,2018-06-06,Thunder Bay,ON
C0000174,none,2024-01-21,Markham,ON
C0000175,bronze,2023-10-08,St. Catharines,ON
C0000176,bronze,2022-06-17,Vaughan,ON
C0000177,bronze,2018-09-15,Peterborough,ON
C0000178,silver,2020-03-29,St. Catharines,ON
C0000179,gold,2024-10-12,Ottawa,ON
C0000180,silver,2019-02-12,Mississauga,ON
C0000181,bronze,2019-08-13,Niagara Falls,ON
C0000182,bronze,2021-08-14,Sudbury,ON
C0000183,silver,2023-11-18,Sudbury,ON
C0000184,bronze,2024-08-17,Vaughan,ON
C0000185,silver,2022-09-26,St. Catharines,ON
C0000186,gold,2021-12-10,St. Catharines,ON
C0000187,none,2021-01-31,Windsor,ON
C0000188,gold,2018-05-08,Windsor,ON
C0000189,gold,2020-02-21,Brampton,ON
C0000190,bronze,2019-09-20,Kingston,ON
C0000191,gold,2018-06-17,Vaughan,ON
C0000192,none,2023-12-18,Hamilton,ON
C0000193,none,2020-10-29,Peterborough,ON
C0000194,bronze,2022-01-29,Guelph,ON
C0000195,bronze,2019-08-09,St. Catharines,ON
C0000196,bronze,2022-09-24,Sudbury,ON
C0000197,gold,2019-02-02,St. Catharines,ON
C0000198,none,2023-06-04,Windsor,ON
C0000199,bronze,2023-11-28,Oakville,ON
C0000200,silver,2020-06-28,Markham,ON
C0000201,none,2019-09-13,London,ON
C0000202,silver,2024-03-29,Windsor,ON
C0000203,bronze,2019-10-15,Kingston,ON
C0000204,platinum,2019-06-05,St. Catharines,ON
C0000205,silver,2020-09-21,Barrie,ON
C0000206,none,2025-09-25,Kitchener,ON
C0000207,none,2021-09-13,Mississauga,ON
C0000208,none,2020-02-07,Ottawa,ON
C0000209,gold,2022-02-10,Kitchener,ON
C0000210,silver,2020-10-15,St. Catharines,ON
C0000211,bronze,2023-04-26,Niagara Falls,ON
C0000212,none,2021-07-06,Hamilton,ON
C0000213,gold,2022-09-16,Kitchener,ON
C0000214,none,2021-06-28,Windsor,ON
C0000215,silver,2021-11-08,Niagara Falls,ON
C0000216,silver,2021-07-30,Oakville,ON
C0000217,bronze,2021-02-25,St. Catharines,ON
C0000218,bronze,2025-09-17,London,ON
C0000219,none,2020-02-16,Niagara Falls,ON
C0000220,bronze,2024-06-11,Hamilton,ON
C0000221,platinum,2023-09-06,Kitchener,ON
C0000222,silver,2022-03-23,Vaughan,ON
C0000223,gold,2020-07-16,London,ON
C0000224,bronze,2021-11-14,Brampton,ON
C0000225,none,2024-10-18,Niagara Falls,ON
C0000226,silver,2019-06-16,Kingston,ON
C0000227,bronze,2022-09-09,Peterborough,ON
C0000228,none,2024-02-13,Guelph,ON
C0000229,bronze,2023-01-27,Ottawa,ON
C0000230,silver,2019-02-26,Mississauga,ON
C0000231,silver,2022-01-26,Burlington,ON
C0000232,none,2019-06-19,Waterloo,ON
C0000233,gold,2025-06-06,Kingston,ON
C0000234,bronze,2020-10-24,Kitchener,ON
C0000235,none,2021-05-16,Peterborough,ON
C0000236,none,2024-11-10,Oakville,ON
C0000237,silver,2021-06-01,Markham,ON
C0000238,bronze,2019-07-21,Mississauga,ON
C0000239,bronze,2025-02-22,Kitchener,ON
C0000240,none,2023-03-09,Waterloo,ON
C0000241,silver,2022-11-03,Oakville,ON
C0000242,silver,2018-08-09,Kingston,ON
C0000243,bronze,2021-08-05,Ottawa,ON
C0000244,gold,2021-09-04,Burlington,ON
C0000245,none,2020-02-06,Oakville,ON
C0000246,none,2022-07-08,Ottawa,ON
C0000247,bronze,2019-12-18,Guelph,ON
C0000248,silver,2021-10-08,Markham,ON
C0000249,none,2024-05-30,Oakville,ON
C0000250,bronze,2023-11-19,London,ON
C0000251,bronze,2020-03-27,London,ON
C0000252,bronze,2019-08-30,Markham,ON
C0000253,silver,2018-01-17,Sudbury,ON
C0000254,platinum,2020-10-06,St. Catharines,ON
C0000255,bronze,2018-02-26,St. Catharines,ON
C0000256,silver,2019-01-10,Mississauga,ON
C0000257,bronze,2025-10-29,Barrie,ON
C0000258,bronze,2024-11-05,Vaughan,ON
C0000259,none,2022-06-24,Thunder Bay,ON
C0000260,platinum,2024-03-13,London,ON
C0000261,none,2021-11-29,Barrie,ON
C0000262,silver,2022-10-24,Markham,ON
C0000263,none,2025-05-06,Markham,ON
C0000264,silver,2018-08-18,Kingston,ON
C0000265,none,2020-10-24,Peterborough,ON
C0000266,platinum,2018-12-14,Windsor,ON
C0000267,silver,2024-05-11,Toronto,ON
C0000268,none,2024-07-31,Sudbury,ON
C0000269,silver,2023-10-11,St. Catharines,ON
C0000270,silver,2022-11-15,Sudbury,ON
C0000271,bronze,2021-10-26,Barrie,ON
C0000272,none,2018-03-10,Peterborough,ON
C0000273,silver,2024-03-13,Guelph,ON
C0000274,silver,2025-02-25,Guelph,ON
C0000275,bronze,2025-09-23,Windsor,ON
C0000276,gold,2020-09-25,Toronto,ON
C0000277,none,2019-08-10,St. Catharines,ON
C0000278,none,2023-03-26,Ottawa,ON
C0000279,bronze,2018-02-21,Peterborough,ON
C0000280,none,2018-06-26,Windsor,ON
C0000281,none,2024-07-28,Guelph,ON
C0000282,bronze,2025-08-27,Toronto,ON
C0000283,bronze,2021-03-25,Niagara Falls,ON
C0000284,none,2022-01-23,London,ON
C0000285,silver,2022-05-10,Barrie,ON
C0000286,bronze,2019-02-09,Hamilton,ON
C0000287,gold,2019-10-13,Vaughan,ON
C0000288,bronze,2020-05-22,Burlington,ON
C0000289,bronze,2024-09-25,Markham,ON
C0000290,none,2021-07-04,Windsor,ON
C0000291,silver,2023-10-09,Waterloo,ON
C0000292,none,2019-07-23,Kingston,ON
C0000293,none,2025-08-17,Thunder Bay,ON
C0000294,gold,2025-01-25,Mississauga,ON
C0000295,silver,2021-10-20,Oakville,ON
C0000296,silver,2019-10-22,Hamilton,ON
C0000297,none,2025-10-24,Oakville,ON
C0000298,none,2024-06-19,Peterborough,ON
C0000299,bronze,2022-02-01,Brampton,ON
C0000300,silver,2020-02-21,Toronto,ON
C0000301,bronze,2022-12-21,Barrie,ON
C0000302,none,2020-12-18,Thunder Bay,ON
C0000303,none,2023-05-24,Vaughan,ON
C0000304,bronze,2024-08-29,Hamilton,ON
C0000305,silver,2021-12-02,London,ON
C0000306,none,2018-05-21,Windsor,ON
C0000307,none,2022-07-03,Thunder Bay,ON
C0000308,none,2024-11-13,St. Catharines,ON
C0000309,none,2019-10-15,Toronto,ON
C0000310,bronze,2025-09-04,St. Catharines,ON
C0000311,none,2020-11-24,Windsor,ON
C0000312,silver,2023-06-22,London,ON
C0000313,silver,2023-08-14,London,ON
C0000314,platinum,2019-06-17,Sudbury,ON
C0000315,gold,2018-04-24,Kingston,ON
C0000316,none,2025-08-04,Oakville,ON
C0000317,none,2023-08-09,Burlington,ON
C0000318,bronze,2023-01-19,Guelph,ON
C0000319,silver,2020-06-06,St. Catharines,ON
C0000320,none,2018-11-12,St. Catharines,ON
C0000321,bronze,2020-03-05,Markham,ON
C0000322,bronze,2022-05-20,Oakville,ON
C0000323,none,2023-07-20,Ottawa,ON
C0000324,silver,2020-07-21,Peterborough,ON
C0000325,silver,2019-09-21,Kingston,ON
C0000326,bronze,2019-12-31,Hamilton,ON
C0000327,gold,2025-09-11,Brampton,ON
C0000328,none,2023-01-17,Markham,ON
C0000329,none,2025-12-04,St. Catharines,ON
C0000330,bronze,2018-01-19,London,ON
C0000331,silver,2021-08-31,Barrie,ON
C0000332,bronze,2021-08-29,Barrie,ON
C0000333,none,2021-03-18,Toronto,ON
C0000334,gold,2021-02-18,Guelph,ON
C0000335,bronze,2018-08-19,Hamilton,ON
C0000336,bronze,2018-04-05,Vaughan,ON
C0000337,silver,2024-03-23,Windsor,ON
C0000338,gold,2021-07-11,Toronto,ON
C0000339,silver,2019-04-21,Burlington,ON
C0000340,gold,2020-10-12,Windsor,ON
C0000341,none,2025-06-19,Oakville,ON
C0000342,silver,2021-09-28,Kitchener,ON
C0000343,gold,2025-12-04,Niagara Falls,ON
C0000344,bronze,2019-04-17,Kingston,ON
C0000345,bronze,2018-12-24,Markham,ON
C0000346,platinum,2022-07-06,Mississauga,ON
C0000347,none,2023-06-19,Windsor,ON
C0000348,bronze,2025-11-07,Oakville,ON
C0000349,gold,2021-09-23,Guelph,ON
C0000350,gold,2019-08-08,Mississauga,ON
C0000351,platinum,2022-05-01,Kitchener,ON
C0000352,gold,2020-06-15,Thunder Bay,ON
C0000353,none,2019-06-09,Mississauga,ON
C0000354,gold,2018-09-16,Hamilton,ON
C0000355,bronze,2023-10-16,Peterborough,ON
C0000356,silver,2023-02-22,Windsor,ON
C0000357,bronze,2019-05-02,Markham,ON
C0000358,silver,2022-06-22,Vaughan,ON
C0000359,bronze,2025-01-30,Kingston,ON
C0000360,gold,2024-07-18,Barrie,ON
C0000361,none,2021-08-19,Burlington,ON
C0000362,none,2018-06-17,Niagara Falls,ON
C0000363,bronze,2023-01-30,Kingston,ON
C0000364,none,2022-02-17,Markham,ON
C0000365,silver,2025-05-17,Vaughan,ON
C0000366,bronze,2022-06-05,Kingston,ON
C0000367,bronze,2023-11-27,Markham,ON
C0000368,none,2022-03-25,Kingston,ON
C0000369,none,2022-04-30,London,ON
C0000370,silver,2020-07-16,Thunder Bay,ON
C0000371,bronze,2021-03-22,Toronto,ON
C0000372,none,2020-05-14,Sudbury,ON
C0000373,none,2021-09-12,Vaughan,ON
C0000374,none,2025-08-12,Toronto,ON
C0000375,silver,2020-09-25,Ottawa,ON
C0000376,none,2021-09-15,Windsor,ON
C0000377,bronze,2025-07-27,Peterborough,ON
C0000378,silver,2019-03-18,Brampton,ON
C0000379,bronze,2020-01-09,Mississauga,ON
C0000380,bronze,2021-12-12,Windsor,ON
C0000381,none,2021-04-11,Barrie,ON
C0000382,gold,2020-09-23,St. Catharines,ON
C0000383,bronze,2024-03-23,Kingston,ON
C0000384,bronze,2021-12-28,Sudbury,ON
C0000385,gold,2020-11-30,Barrie,ON
C0000386,silver,2021-10-31,London,ON
C0000387,silver,2025-02-03,Guelph,ON
C0000388,gold,2025-11-15,Windsor,ON
C0000389,none,2019-12-12,Guelph,ON
C0000390,gold,2018-04-28,Windsor,ON
C0000391,silver,2018-04-02,Windsor,ON
C0000392,bronze,2021-07-25,Niagara Falls,ON
C0000393,none,2023-01-12,Waterloo,ON
C0000394,none,2018-05-30,Ottawa,ON
C0000395,gold,2022-01-25,Sudbury,ON
C0000396,none,2021-03-13,Kitchener,ON
C0000397,none,2025-06-19,Brampton,ON
C0000398,silver,2022-10-30,Kitchener,ON
C0000399,silver,2021-05-21,Hamilton,ON
C0000400,none,2022-09-11,Toronto,ON
C0000401,silver,2019-02-01,Mississauga,ON
C0000402,bronze,2021-10-20,Kitchener,ON
C0000403,gold,2020-08-21,Sudbury,ON
C0000404,none,2019-06-13,London,ON
C0000405,none,2021-02-22,Niagara Falls,ON
C0000406,silver,2023-02-11,Mississauga,ON
C0000407,none,2022-08-31,Guelph,ON
C0000408,bronze,2025-09-17,Mississauga,ON
C0000409,none,2020-03-13,Peterborough,ON
C0000410,silver,2023-08-07,Peterborough,ON
C0000411,gold,2022-05-28,Thunder Bay,ON
C0000412,gold,2024-12-28,Oakville,ON
C0000413,gold,2025-04-07,Markham,ON
C0000414,gold,2023-08-30,Hamilton,ON
C0000415,bronze,2021-05-23,Kingston,ON
C0000416,bronze,2022-04-08,Vaughan,ON
C0000417,gold,2023-03-19,Barrie,ON
C0000418,gold,2024-06-12,Markham,ON
C0000419,platinum,2019-10-31,Mississauga,ON
C0000420,silver,2024-12-25,Vaughan,ON
C0000421,none,2024-05-30,Ottawa,ON
C0000422,gold,2018-09-15,Kitchener,ON
C0000423,gold,2020-02-27,Burlington,ON
C0000424,silver,2019-11-21,Waterloo,ON
C0000425,gold,2022-08-22,Waterloo,ON
C0000426,bronze,2019-09-02,Windsor,ON
C0000427,gold,2020-05-27,London,ON
C0000428,none,2019-07-07,Brampton,ON
C0000429,gold,2018-07-16,Oakville,ON
C0000430,none,2021-09-04,Windsor,ON
C0000431,bronze,2020-07-23,Brampton,ON
C0000432,none,2022-01-14,Niagara Falls,ON
C0000433,bronze,2019-09-12,Brampton,ON
C0000434,none,2020-04-16,Kingston,ON
C0000435,gold,2025-02-21,Brampton,ON
C0000436,bronze,2024-06-10,Mississauga,ON
C0000437,gold,2020-02-17,Waterloo,ON
C0000438,none,2019-04-18,Vaughan,ON
C0000439,none,2025-10-18,Burlington,ON
C0000440,silver,2023-06-13,Hamilton,ON
C0000441,silver,2021-12-09,Vaughan,ON
C0000442,bronze,2023-08-06,Ottawa,ON
C0000443,silver,2019-10-08,Guelph,ON
C0000444,gold,2021-06-05,Oakville,ON
C0000445,bronze,2021-02-17,Guelph,ON
C0000446,platinum,2023-10-08,Guelph,ON
C0000447,silver,2019-06-20,Windsor,ON
C0000448,silver,2021-11-30,Kitchener,ON
C0000449,bronze,2024-09-02,Sudbury,ON
C0000450,none,2019-07-28,Niagara Falls,ON
C0000451,none,2018-12-17,St. Catharines,ON
C0000452,silver,2024-07-27,Windsor,ON
C0000453,silver,2024-12-27,Peterborough,ON
C0000454,bronze,2021-06-12,Guelph,ON
C0000455,silver,2018-05-15,Mississauga,ON
C0000456,none,2022-04-29,Niagara Falls,ON
C0000457,none,2020-05-25,Ottawa,ON
C0000458,gold,2022-09-13,Vaughan,ON
C0000459,bronze,2019-02-13,Thunder Bay,ON
C0000460,none,2024-06-10,Kingston,ON
C0000461,bronze,2023-06-26,Peterborough,ON
C0000462,bronze,2023-03-01,Mississauga,ON
C0000463,silver,2022-02-06,Kitchener,ON
C0000464,platinum,2019-10-06,Windsor,ON
C0000465,bronze,2025-07-07,Waterloo,ON
C0000466,bronze,2020-02-16,Peterborough,ON
C0000467,bronze,2020-12-05,Burlington,ON
C0000468,bronze,2025-05-30,Windsor,ON
C0000469,bronze,2018-04-30,Guelph,ON
C0000470,none,2019-01-01,Ottawa,ON
C0000471,gold,2024-02-04,Kingston,ON
C0000472,bronze,2020-12-11,Burlington,ON
C0000473,bronze,2022-08-21,Thunder Bay,ON
C0000474,none,2022-08-24,Toronto,ON
C0000475,gold,2024-08-14,London,ON
C0000476,none,2022-12-18,Kitchener,ON
C0000477,bronze,2021-05-30,Mississauga,ON
C0000478,gold,2022-05-24,Niagara Falls,ON
C0000479,bronze,2023-11-27,Kitchener,ON
C0000480,gold,2021-01-12,Kitchener,ON
C0000481,none,2019-05-15,Brampton,ON
C0000482,silver,2021-11-21,Oakville,ON
C0000483,platinum,2025-12-30,Oakville,ON
C0000484,bronze,2018-11-24,Waterloo,ON
C0000485,silver,2019-05-23,Hamilton,ON
C0000486,bronze,2025-12-17,Kitchener,ON
C0000487,silver,2024-08-21,Ottawa,ON
C0000488,gold,2018-12-08,Kingston,ON
C0000489,silver,2019-09-13,Markham,ON
C0000490,gold,2023-07-12,Barrie,ON
C0000491,bronze,2024-04-05,Markham,ON
C0000492,bronze,2023-11-15,Toronto,ON
C0000493,bronze,2024-11-21,Toronto,ON
C0000494,silver,2022-01-20,Vaughan,ON
C0000495,gold,2025-01-05,Barrie,ON
C0000496,silver,2022-10-08,Vaughan,ON
C0000497,none,2021-10-22,Guelph,ON
C0000498,bronze,2023-02-03,St. Catharines,ON
C0000499,silver,2021-06-06,Toronto,ON
C0000500,gold,2022-11-07,Niagara Falls,ON
C0000501,none,2024-09-02,Toronto,ON
C0000502,none,2025-08-31,Niagara Falls,ON
C0000503,bronze,2022-08-21,Windsor,ON
C0000504,none,2018-01-17,London,ON
C0000505,platinum,2022-12-21,Oakville,ON
C0000506,bronze,2020-01-07,Kingston,ON
C0000507,bronze,2019-11-21,Kitchener,ON
C0000508,none,2025-01-18,Oakville,ON
C0000509,bronze,2021-07-27,Niagara Falls,ON
C0000510,platinum,2024-04-28,Brampton,ON
C0000511,bronze,2020-12-15,Sudbury,ON
C0000512,none,2022-11-09,Ottawa,ON
C0000513,none,2023-04-29,Hamilton,ON
C0000514,platinum,2025-02-23,Guelph,ON
C0000515,platinum,2019-07-29,Guelph,ON
C0000516,none,2022-06-28,Kitchener,ON
C0000517,silver,2021-03-31,Mississauga,ON
C0000518,none,2021-09-17,Barrie,ON
C0000519,bronze,2024-10-15,Thunder Bay,ON
C0000520,none,2019-02-01,Thunder Bay,ON
C0000521,silver,2022-05-16,Thunder Bay,ON
C0000522,gold,2021-02-07,Sudbury,ON
C0000523,none,2025-03-03,Ottawa,ON
C0000524,bronze,2019-09-25,Mississauga,ON
C0000525,none,2019-11-11,Niagara Falls,ON
C0000526,bronze,2018-09-23,Oakville,ON
C0000527,none,2021-07-09,Vaughan,ON
C0000528,none,2018-02-01,Peterborough,ON
C0000529,platinum,2022-01-02,Peterborough,ON
C0000530,none,2019-10-16,London,ON
C0000531,gold,2021-03-16,Ottawa,ON
C0000532,none,2022-11-04,Brampton,ON
C0000533,bronze,2023-06-24,Vaughan,ON
C0000534,bronze,2018-06-28,Barrie,ON
C0000535,gold,2019-03-11,Niagara Falls,ON
C0000536,none,2020-07-17,Windsor,ON
C0000537,none,2022-02-26,Niagara Falls,ON
C0000538,silver,2025-01-25,Vaughan,ON
C0000539,silver,2019-02-10,Peterborough,ON
C0000540,silver,2018-07-18,Ottawa,ON
C0000541,none,2023-01-13,Guelph,ON
C0000542,none,2025-10-31,Burlington,ON
C0000543,gold,2024-08-22,Waterloo,ON
C0000544,silver,2022-07-11,Thunder Bay,ON
C0000545,silver,2018-02-28,Waterloo,ON
C0000546,bronze,2022-08-11,London,ON
C0000547,none,2021-08-28,Oakville,ON
C0000548,gold,2021-07-29,London,ON
C0000549,silver,2021-12-10,Burlington,ON
C0000550,none,2022-06-29,Kitchener,ON
C0000551,gold,2023-10-06,Toronto,ON
C0000552,bronze,2019-07-16,Markham,ON
C0000553,bronze,2018-08-07,Kingston,ON
C0000554,bronze,2018-05-31,Burlington,ON
C0000555,silver,2021-04-01,Niagara Falls,ON
C0000556,bronze,2022-01-24,Windsor,ON
C0000557,bronze,2024-04-14,Niagara Falls,ON
C0000558,silver,2021-06-20,Ottawa,ON
C0000559,none,2022-04-04,Oakville,ON
C0000560,gold,2025-10-24,Ottawa,ON
C0000561,bronze,2024-01-01,Vaughan,ON
C0000562,bronze,2023-07-12,Burlington,ON
C0000563,silver,2020-11-29,Kitchener,ON
C0000564,silver,2019-03-21,Barrie,ON
C0000565,bronze,2025-05-12,Vaughan,ON
C0000566,silver,2022-06-06,Kitchener,ON
C0000567,gold,2018-08-15,Mississauga,ON
C0000568,silver,2021-11-10,Mississauga,ON
C0000569,gold,2018-09-24,Kingston,ON
C0000570,none,2025-11-07,Ottawa,ON
C0000571,bronze,2022-03-25,Burlington,ON
C0000572,bronze,2024-04-12,Waterloo,ON
C0000573,none,2021-10-07,Burlington,ON
C0000574,silver,2018-02-27,Oakville,ON
C0000575,bronze,2023-02-09,Niagara Falls,ON
C0000576,bronze,2023-03-24,Hamilton,ON
C0000577,none,2019-11-01,Peterborough,ON
C0000578,bronze,2023-09-25,St. Catharines,ON
C0000579,bronze,2019-10-23,Hamilton,ON
C0000580,silver,2023-07-14,Windsor,ON
C0000581,bronze,2023-12-29,Ottawa,ON
C0000582,none,2019-02-06,Oakville,ON
C0000583,none,2020-05-02,Sudbury,ON
C0000584,gold,2019-04-23,Niagara Falls,ON
C0000585,none,2023-10-27,Waterloo,ON
C0000586,bronze,2019-11-20,Thunder Bay,ON
C0000587,bronze,2023-02-16,Niagara Falls,ON
C0000588,bronze,2021-05-05,Vaughan,ON
C0000589,gold,2018-09-01,Ottawa,ON
C0000590,silver,2025-01-23,Toronto,ON
