return_id,sale_id,transaction_id,return_date,store_id,customer_id,employee_id,product_id,return_quantity,return_amount,return_reason,return_channel,refund_method,receipt_present,item_condition,policy_exception_flag
RT00000026,SL00030913,TXN000030913,2024-04-25,S012,C0001632,E00095,P000283,1,226.52,changed_mind,in_store,store_credit,True,defective,True
RT00000027,SL00006660,TXN000006660,2025-10-07,S012,C0006615,E00111,P000178,2,49.63,not_as_described,in_store,debit_card,True,opened,False
RT00000028,SL00042750,TXN000042750,2025-06-10,S008,C0001751,E00027,P000139,5,196.9,wrong_size,in_store,store_credit,True,opened,True
RT00000029,SL00011549,TXN000011549,2024-09-04,S014,C0007823,E00015,P000459,2,224.66,duplicate_purchase,in_store,store_credit,False,unopened,True
RT00000030,SL00047257,TXN000047257,2025-01-28,S003,C0009023,E00145,P000209,1,138.16,wrong_size,in_store,credit_card,True,opened,False
RT00000031,SL00043983,TXN000043983,2025-02-22,S012,C0009461,E00021,P000053,2,325.7,wrong_size,in_store,store_credit,True,opened,True
RT00000032,SL00014806,TXN000014806,2025-09-16,S010,C0004758,E00136,P000421,1,30.32,changed_mind,mail,store_credit,True,opened,False
RT00000033,SL00016425,TXN000016425,2024-07-07,S008,C0004009,E00089,P000092,1,26.96,damaged,curbside,credit_card,True,damaged,True
RT00000034,SL00008710,TXN000008710,2025-02-18,S008,C0006783,E00089,P000111,1,16.95,not_as_described,mail,store_credit,False,missing_packaging,True
RT00000035,SL00012231,TXN000012231,2024-02-21,S016,C0009568,E00133,P000027,3,75.03,not_as_described,in_store,credit_card,True,opened,False
RT00000036,SL00013971,TXN000013971,2025-11-30,S008,C0005981,E00050,P000350,2,168.44,wrong_size,in_store,gift_card,True,missing_packaging,False
RT00000037,SL00013872,TXN000013872,2025-05-29,S005,C0006283,E00141,P000424,1,52.46,wrong_size,in_store,credit_card,True,opened,False
RT00000038,SL00011038,TXN000011038,2025-12-20,S019,C0005476,E00092,P000051,1,21.25,changed_mind,in_store,debit_card,True,unopened,False
RT00000039,SL00037962,TXN000037962,2025-06-06,S009,C0000128,E00131,P000426,1,63.56,wrong_size,in_store,store_credit,False,opened,True
RT00000040,SL00048699,TXN000048699,2024-02-25,S008,C0007581,E00101,P000482,1,29.88,changed_mind,in_store,credit_card,True,unopened,False
RT00000041,SL00008547,TXN000008547,2024-12-05,S019,C0009511,E00121,P000147,1,12.81,late_delivery,in_store,cash,False,missing_packaging,True
RT00000042,SL00018350,TXN000018350,2024-01-20,S010,C0003323,E00096,P000233,1,93.49,changed_mind,in_store,cash,False,missing_packaging,True
RT00000043,SL00042692,TXN000042692,2025-05-02,S008,C0002268,E00089,P000199,1,28.41,not_as_described,in_store,store_credit,True,unopened,True
RT00000044,SL00001297,TXN000001297,2024-03-25,S008,C0001880,E00089,P000245,1,61.37,changed_mind,in_store,credit_card,True,opened,False
RT00000045,SL00016456,TXN000016456,2024-03-12,S011,C0008488,E00117,P000004,1,19.36,changed_mind,in_store,debit_card,True,unopened,False
RT00000046,SL00024430,TXN000024430,2025-04-23,S003,C0002930,E00145,P000347,1,5.49,not_as_described,mail,store_credit,True,unopened,False
RT00000047,SL00044929,TXN000044929,2024-09-08,S008,C0009406,E00050,P000209,1,153.51,wrong_size,curbside,credit_card,True,damaged,True
RT00000048,SL00005165,TXN000005165,2024-01-19,S007,C0008231,E00120,P000485,1,82.8,defective,in_store,credit_card,False,opened,True
RT00000049,SL00002115,TXN000002115,2024-12-19,S010,C0004294,E00148,P000028,1,19.92,defective,in_store,store_credit,True,defective,False
RT00000050,SL00025003,TXN000025003,2024-11-03,S008,C0002159,E00006,P000038,2,61.24,damaged,in_store,credit_card,True,damaged,True
RT00000051,SL00033119,TXN000033119,2024-05-21,S019,C0005414,E00029,P000298,1,19.3,duplicate_purchase,in_store,credit_card,True,unopened,False
RT00000052,SL00024486,TXN000024486,2024-03-02,S002,C0000983,E00072,P000249,1,18.37,wrong_size,in_store,store_credit,False,opened,True
RT00000053,SL00044455,TXN000044455,2025-03-31,S017,C0003673,E00086,P000369,1,5.47,not_as_described,in_store,credit_card,True,unopened,False
RT00000054,SL00045905,TXN000045905,2024-08-07,S013,C0001090,E00078,P000245,1,64.6,not_as_described,mail,credit_card,True,missing_packaging,False
RT00000055,SL00020315,TXN000020315,2025-12-18,S008,C0008319,E00101,P000306,1,25.16,changed_mind,in_store,store_credit,True,unopened,True
RT00000056,SL00005243,TXN000005243,2025-01-26,S018,C0004851,E00099,P000182,1,27.27,wrong_size,in_store,credit_card,False,unopened,True
RT00000057,SL00045164,TXN000045164,2025-01-18,S015,C0009352,E00020,P000401,1,31.23,changed_mind,in_store,credit_card,True,opened,False
RT00000058,SL00015307,TXN000015307,2025-07-23,S011,C0003801,E00013,P000399,1,24.82,defective,in_store,gift_card,False,defective,True
RT00000059,SL00038197,TXN000038197,2025-09-11,S016,C0009258,E00123,P000449,1,50.34,wrong_size,in_store,debit_card,True,opened,False
RT00000060,SL00026210,TXN000026210,2025-09-28,S006,C0008858,E00091,P000347,1,5.49,wrong_size,in_store,credit_card,True,unopened,False
RT00000061,SL00044113,TXN000044113,2025-12-04,S019,C0009774,E00116,P000392,1,24.18,other,in_store,gift_card,True,unopened,False
RT00000062,SL00021885,TXN000021885,2024-06-13,S008,C0009538,E00006,P000319,1,41.86,wrong_size,mail,cash,True,defective,False
RT00000063,SL00032996,TXN000032996,2024-04-03,S008,C0006356,E00101,P000004,1,17.21,changed_mind,in_store,store_credit,True,opened,False
RT00000064,SL00031138,TXN000031138,2025-11-17,S016,C0000870,E00083,P000042,1,12.5,wrong_size,in_store,gift_card,True,unopened,False
RT00000065,SL00034117,TXN000034117,2026-01-14,S014,C0004231,E00088,P000186,1,18.64,damaged,mail,credit_card,True,damaged,True
RT00000066,SL00021905,TXN000021905,2026-02-27,S015,C0004902,E00058,P000248,1,20.42,changed_mind,mail,store_credit,True,opened,True
RT00000067,SL00023749,TXN000023749,2025-04-30,S020,C0006784,E00061,P000306,1,26.64,not_as_described,in_store,credit_card,True,unopened,False
RT00000068,SL00043843,TXN000043843,2025-03-16,S018,C0005375,E00109,P000010,2,34.52,damaged,mail,credit_card,True,defective,False
RT00000069,SL00022612,TXN000022612,2025-10-17,S008,C0000733,E00027,P000146,1,125.22,defective,in_store,credit_card,True,opened,False
RT00000070,SL00011719,TXN000011719,2024-05-15,S019,C0000014,E00116,P000331,1,16.62,damaged,in_store,debit_card,True,damaged,True
RT00000071,SL00019758,TXN000019758,2024-10-07,S011,C0002887,E00070,P000063,2,291.39,wrong_size,in_store,store_credit,True,unopened,True
RT00000072,SL00016104,TXN000016104,2025-12-31,S010,C0005625,E00077,P000019,1,44.68,other,in_store,store_credit,True,opened,False
RT00000073,SL00038932,TXN000038932,2024-12-28,S008,C0008248,E00122,P000270,1,32.79,not_as_described,in_store,credit_card,True,opened,False
RT00000074,SL00032040,TXN000032040,2024-03-28,S018,C0006864,E00008,P000083,2,58.03,defective,in_store,store_credit,True,defective,True
RT00000075,SL00042423,TXN000042423,2024-02-22,S019,C0001665,E00067,P000498,1,46.81,changed_mind,in_store,debit_card,True,opened,False
RT00000076,SL00020688,TXN000020688,2024-02-04,S011,C0009986,E00117,P000030,1,74.38,other,in_store,debit_card,True,missing_packaging,False
RT00000077,SL00011636,TXN000011636,2024-03-19,S013,C0004152,E00124,P000005,2,48.82,other,curbside,credit_card,True,unopened,False
RT00000078,SL00045663,TXN000045663,2025-01-11,S016,C0004271,E00133,P000325,1,71.99,wrong_size,in_store,credit_card,True,unopened,False
RT00000079,SL00029004,TXN000029004,2025-08-19,S008,C0009237,E00122,P000416,1,24.6,changed_mind,in_store,credit_card,True,unopened,False
RT00000080,SL00010883,TXN000010883,2024-06-07,S018,C0009942,E00099,P000083,1,25.96,duplicate_purchase,in_store,store_credit,True,unopened,True
RT00000081,SL00025415,TXN000025415,2024-10-30,S017,C0005614,E00075,P000192,1,18.74,changed_mind,in_store,debit_card,True,unopened,False
RT00000082,SL00004731,TXN000004731,2025-06-08,S015,C0006525,E00068,P000073,1,39.09,changed_mind,in_store,store_credit,True,unopened,False
RT00000083,SL00011748,TXN000011748,2025-11-24,S018,C0009211,E00008,P000148,1,24.26,changed_mind,in_store,gift_card,True,unopened,False
RT00000084,SL00004656,TXN000004656,2026-01-30,S018,C0006885,E00109,P000438,1,29.3,wrong_size,in_store,credit_card,True,unopened,True
RT00000085,SL00028444,TXN000028444,2025-07-13,S020,C0008848,E00049,P000063,1,154.8,wrong_size,mail,cash,True,unopened,False
RT00000086,SL00026366,TXN000026366,2025-09-16,S018,C0006956,E00109,P000162,1,37.5,wrong_size,in_store,store_credit,True,unopened,False
RT00000087,SL00031398,TXN000031398,2024-07-16,S011,C0005447,E00070,P000003,1,39.71,other,mail,credit_card,True,unopened,False
RT00000088,SL00017970,TXN000017970,2024-06-17,S002,C0001313,E00053,P000408,1,93.14,not_as_described,mail,credit_card,True,missing_packaging,False
RT00000089,SL00034757,TXN000034757,2024-03-05,S014,C0006836,E00114,P000228,1,14.04,not_as_described,mail,credit_card,False,opened,True
RT00000090,SL00001849,TXN000001849,2024-05-25,S011,C0006470,E00047,P000365,1,33.0,late_delivery,in_store,credit_card,True,opened,False
RT00000091,SL00046422,TXN000046422,2025-11-30,S018,C0008493,E00008,P000445,1,12.04,changed_mind,mail,debit_card,True,damaged,True
RT00000092,SL00000523,TXN000000523,2025-10-05,S013,C0002177,E00100,P000008,1,21.56,wrong_size,in_store,credit_card,True,unopened,False
RT00000093,SL00049502,TXN000049502,2025-10-31,S010,C0004658,E00128,P000281,1,42.53,changed_mind,in_store,cash,True,unopened,False
RT00000094,SL00038817,TXN000038817,2024-05-09,S018,C0007524,E00099,P000393,2,46.95,late_delivery,in_store,gift_card,True,opened,False
RT00000095,SL00000257,TXN000000257,2024-04-22,S013,C0003549,E00124,P000486,1,16.95,changed_mind,curbside,store_credit,False,opened,True
RT00000096,SL00024145,TXN000024145,2025-11-28,S015,C0004893,E00062,P000496,1,99.12,not_as_described,in_store,store_credit,False,missing_packaging,True
RT00000097,SL00049734,TXN000049734,2024-09-18,S014,C0001330,E00149,P000255,1,43.93,wrong_size,in_store,store_credit,True,opened,True
RT00000098,SL00012015,TXN000012015,2025-11-12,S004,C0006819,E00038,P000148,1,20.62,defective,in_store,store_credit,True,opened,True
RT00000099,SL00046876,TXN000046876,2025-09-25,S012,C0000516,E00016,P000025,1,16.27,damaged,in_store,credit_card,True,damaged,True
RT00000100,SL00022862,TXN000022862,2025-08-19,S013,C0008649,E00059,P000331,2,31.58,duplicate_purchase,in_store,debit_card,True,opened,False
RT00000101,SL00024395,TXN000024395,2025-08-10,S017,C0007647,E00018,P000008,1,22.69,changed_mind,in_store,store_credit,True,opened,True
RT00000102,SL00009777,TXN000009777,2025-12-06,S020,C0004248,E00061,P000122,1,10.34,not_as_described,in_store,credit_card,True,unopened,False
RT00000103,SL00030125,TXN000030125,2024-03-10,S012,C0002672,E00087,P000429,1,17.2,wrong_size,mail,debit_card,True,opened,False
RT00000104,SL00018534,TXN000018534,2025-08-22,S018,C0008379,E00109,P000138,1,19.38,other,curbside,store_credit,True,unopened,True
RT00000105,SL00004492,TXN000004492,2024-10-05,S015,C0001456,E00068,P000320,1,28.99,changed_mind,in_store,store_credit,True,opened,True
RT00000106,SL00008852,TXN000008852,2025-04-15,S019,C0009487,E00067,P000113,1,158.2,defective,in_store,credit_card,True,opened,False
RT00000107,SL00000765,TXN000000765,2025-07-12,S015,C0005357,E00020,P000191,1,32.42,changed_mind,in_store,store_credit,False,opened,True
RT00000108,SL00019532,TXN000019532,2024-03-18,S014,C0008544,E00129,P000441,1,13.05,changed_mind,in_store,store_credit,False,opened,True
RT00000109,SL00019243,TXN000019243,2025-04-01,S010,C0004767,E00077,P000368,1,16.48,wrong_size,mail,store_credit,True,unopened,True
RT00000110,SL00015814,TXN000015814,2024-06-13,S003,C0009452,E00106,P000324,1,19.99,late_delivery,in_store,store_credit,True,opened,False
RT00000111,SL00025310,TXN000025310,2025-02-04,S001,C0007325,E00143,P000386,1,16.48,not_as_described,curbside,debit_card,True,opened,False
RT00000112,SL00033537,TXN000033537,2025-06-21,S008,C0000540,E00089,P000199,1,29.99,not_as_described,mail,debit_card,False,opened,True
RT00000113,SL00027381,TXN000027381,2025-02-06,S018,C0009214,E00008,P000160,1,17.51,not_as_described,mail,credit_card,True,opened,True
RT00000114,SL00027193,TXN000027193,2024-04-21,S012,C0007672,E00111,P000144,1,30.25,changed_mind,mail,credit_card,True,unopened,False
RT00000115,SL00002609,TXN000002609,2024-12-30,S013,C0007936,E00124,P000394,1,27.73,changed_mind,in_store,credit_card,True,unopened,False
RT00000116,SL00021545,TXN000021545,2024-06-14,S008,C0000478,E00089,P000213,1,56.75,wrong_size,in_store,credit_card,True,opened,False
RT00000117,SL00040847,TXN000040847,2024-02-10,S001,C0003544,E00143,P000291,1,25.11,changed_mind,in_store,debit_card,True,unopened,False
RT00000118,SL00039705,TXN000039705,2025-07-09,S018,C0003447,E00134,P000468,1,9.55,not_as_described,mail,credit_card,True,damaged,True
RT00000119,SL00004568,TXN000004568,2025-09-12,S019,C0006967,E00092,P000178,1,27.57,late_delivery,in_store,debit_card,True,opened,False
RT00000120,SL00006631,TXN000006631,2024-01-14,S005,C0002369,E00141,P000377,1,111.12,defective,mail,credit_card,True,opened,False
RT00000121,SL00039718,TXN000039718,2025-12-13,S019,C0001077,E00029,P000284,2,169.32,changed_mind,in_store,debit_card,True,unopened,False
RT00000122,SL00012937,TXN000012937,2025-04-17,S019,C0009326,E00010,P000385,2,22.0,changed_mind,in_store,store_credit,True,opened,False
RT00000123,SL00040277,TXN000040277,2024-10-24,S011,C0004004,E00076,P000315,1,12.02,defective,in_store,credit_card,True,defective,False
RT00000124,SL00004221,TXN000004221,2026-01-25,S014,C0004979,E00088,P000106,1,35.39,changed_mind,in_store,credit_card,True,unopened,False
RT00000125,SL00012824,TXN000012824,2025-04-16,S015,C0003441,E00020,P000241,1,29.86,wrong_size,in_store,credit_card,True,opened,False
RT00000126,SL00007767,TXN000007767,2025-05-22,S018,C0005241,E00099,P000276,1,16.67,changed_mind,in_store,cash,True,defective,False
RT00000127,SL00036778,TXN000036778,2025-11-15,S013,C0005274,E00124,P000138,1,17.44,not_as_described,in_store,credit_card,True,unopened,True
RT00000128,SL00021995,TXN000021995,2024-10-09,S010,C0002286,E00077,P000410,1,33.8,defective,curbside,cash,True,defective,False
RT00000129,SL00035848,TXN000035848,2025-09-01,S018,C0007650,E00099,P000200,1,215.57,defective,in_store,gift_card,True,defective,True
RT00000130,SL00021682,TXN000021682,2025-11-07,S008,C0006443,E00122,P000036,2,37.26,late_delivery,in_store,debit_card,True,opened,False
RT00000131,SL00012661,TXN000012661,2024-05-04,S002,C0005423,E00031,P000001,1,20.83,not_as_described,in_store,debit_card,True,missing_packaging,False
RT00000132,SL00007760,TXN000007760,2024-08-07,S020,C0003834,E00028,P000055,1,52.23,wrong_size,in_store,debit_card,True,missing_packaging,False
RT00000133,SL00025148,TXN000025148,2024-11-15,S007,C0004100,E00108,P000089,2,127.31,changed_mind,mail,store_credit,True,unopened,False
RT00000134,SL00020427,TXN000020427,2025-11-08,S008,C0000352,E00006,P000364,1,70.43,not_as_described,in_store,debit_card,True,unopened,False
RT00000135,SL00012623,TXN000012623,2025-01-01,S009,C0002311,E00007,P000311,1,21.46,defective,in_store,gift_card,True,defective,False
RT00000136,SL00002973,TXN000002973,2024-02-26,S008,C0004312,E00001,P000327,2,79.08,changed_mind,in_store,debit_card,True,unopened,False
RT00000137,SL00013796,TXN000013796,2024-02-24,S013,C0007270,E00124,P000417,1,87.4,changed_mind,mail,debit_card,True,unopened,False
RT00000138,SL00037868,TXN000037868,2025-06-21,S013,C0007382,E00124,P000203,3,138.81,wrong_size,in_store,debit_card,True,unopened,False
RT00000139,SL00006645,TXN000006645,2025-06-25,S013,C0006170,E00124,P000421,1,27.29,changed_mind,in_store,store_credit,False,missing_packaging,True
RT00000140,SL00017708,TXN000017708,2025-05-02,S008,C0003945,E00089,P000251,2,294.36,changed_mind,mail,store_credit,True,opened,True
RT00000141,SL00013376,TXN000013376,2025-08-29,S013,C0003825,E00124,P000468,1,9.55,duplicate_purchase,curbside,cash,True,opened,False
RT00000142,SL00012492,TXN000012492,2024-03-04,S002,C0005371,E00064,P000249,2,32.88,not_as_described,in_store,credit_card,True,unopened,False
RT00000143,SL00001005,TXN000001005,2025-10-27,S019,C0009625,E00029,P000031,1,14.56,changed_mind,in_store,store_credit,True,unopened,False
RT00000144,SL00004437,TXN000004437,2024-11-21,S018,C0009373,E00008,P000174,1,162.48,changed_mind,mail,debit_card,True,unopened,False
RT00000145,SL00010578,TXN000010578,2024-02-24,S016,C0000316,E00150,P000054,1,26.77,late_delivery,in_store,credit_card,True,opened,False
RT00000146,SL00036413,TXN000036413,2024-11-30,S001,C0005471,E00012,P000414,3,138.42,other,curbside,cash,True,damaged,True
RT00000147,SL00010109,TXN000010109,2024-07-22,S004,C0005226,E00038,P000378,2,58.33,changed_mind,in_store,store_credit,True,unopened,False
RT00000148,SL00036449,TXN000036449,2025-03-08,S014,C0007298,E00149,P000293,1,29.21,duplicate_purchase,mail,cash,True,unopened,False
RT00000149,SL00048052,TXN000048052,2025-05-26,S019,C0006589,E00092,P000196,1,26.63,changed_mind,in_store,debit_card,True,opened,False
RT00000150,SL00011579,TXN000011579,2024-11-21,S020,C0007257,E00061,P000272,1,183.75,not_as_described,in_store,debit_card,True,opened,False
RT00000151,SL00028203,TXN000028203,2024-03-13,S012,C0006181,E00095,P000323,1,12.53,changed_mind,mail,credit_card,True,unopened,False
RT00000152,SL00025186,TXN000025186,2025-02-24,S002,C0005112,E00072,P000345,1,16.95,duplicate_purchase,mail,cash,True,opened,True
RT00000153,SL00043950,TXN000043950,2025-12-16,S016,C0000744,E00133,P000230,1,29.78,not_as_described,curbside,credit_card,True,unopened,False
RT00000154,SL00024379,TXN000024379,2025-06-07,S010,C0007819,E00136,P000194,3,143.52,damaged,in_store,credit_card,False,damaged,True
RT00000155,SL00037622,TXN000037622,2024-08-14,S002,C0003038,E00031,P000382,1,90.14,changed_mind,in_store,store_credit,True,unopened,False
RT00000156,SL00048391,TXN000048391,2024-07-10,S016,C0005287,E00083,P000446,1,49.43,changed_mind,in_store,credit_card,True,defective,False
RT00000157,SL00020382,TXN000020382,2024-07-02,S009,C0002773,E00045,P000449,1,40.27,changed_mind,mail,store_credit,True,opened,False
RT00000158,SL00038059,TXN000038059,2025-09-06,S013,C0007668,E00078,P000060,1,16.02,duplicate_purchase,in_store,credit_card,True,unopened,False
RT00000159,SL00015453,TXN000015453,2025-11-12,S008,C0002604,E00089,P000199,1,29.99,changed_mind,in_store,credit_card,True,unopened,False
RT00000160,SL00016273,TXN000016273,2025-05-20,S013,C0000641,E00124,P000241,2,59.72,wrong_size,mail,store_credit,False,opened,True
RT00000161,SL00002336,TXN000002336,2024-08-14,S002,C0009677,E00072,P000229,3,116.4,changed_mind,in_store,store_credit,False,unopened,True
RT00000162,SL00041403,TXN000041403,2024-01-25,S019,C0008181,E00010,P000414,1,41.53,other,in_store,debit_card,True,opened,False
RT00000163,SL00042275,TXN000042275,2025-11-13,S001,C0000151,E00143,P000170,2,26.71,changed_mind,mail,debit_card,True,missing_packaging,False
RT00000164,SL00040777,TXN000040777,2025-03-29,S019,C0004363,E00032,P000291,1,35.87,damaged,curbside,credit_card,True,damaged,True
RT00000165,SL00013664,TXN000013664,2024-11-09,S018,C0007668,E00099,P000124,1,76.49,defective,mail,credit_card,True,opened,False
RT00000166,SL00029896,TXN000029896,2024-06-25,S007,C0006091,E00120,P000399,4,79.42,damaged,curbside,cash,True,damaged,True
RT00000167,SL00004189,TXN000004189,2025-06-15,S020,C0001594,E00028,P000135,1,30.49,other,in_store,credit_card,True,opened,False
RT00000168,SL00049552,TXN000049552,2025-05-23,S012,C0003875,E00033,P000416,1,24.6,wrong_size,mail,store_credit,True,unopened,False
RT00000169,SL00015476,TXN000015476,2025-07-18,S012,C0003945,E00021,P000455,1,30.21,late_delivery,mail,debit_card,True,unopened,False
RT00000170,SL00036482,TXN000036482,2026-01-04,S017,C0003708,E00139,P000467,2,37.81,not_as_described,in_store,credit_card,True,missing_packaging,False
RT00000171,SL00039956,TXN000039956,2024-10-16,S008,C0002748,E00001,P000498,1,46.81,wrong_size,in_store,credit_card,True,opened,False
RT00000172,SL00010719,TXN000010719,2025-02-05,S006,C0005528,E00091,P000411,1,40.75,damaged,in_store,cash,True,damaged,True
RT00000173,SL00034152,TXN000034152,2025-09-03,S011,C0005870,E00024,P000191,1,40.52,late_delivery,in_store,credit_card,True,missing_packaging,False
RT00000174,SL00011164,TXN000011164,2025-03-19,S014,C0005869,E00129,P000193,1,49.35,damaged,in_store,credit_card,False,missing_packaging,True
RT00000175,SL00000733,TXN000000733,2025-08-30,S019,C0004875,E00067,P000006,4,124.9,changed_mind,in_store,debit_card,True,opened,False
RT00000176,SL00026928,TXN000026928,2025-01-28,S003,C0008660,E00145,P000043,2,45.12,changed_mind,in_store,credit_card,True,unopened,False
RT00000177,SL00014706,TXN000014706,2024-08-23,S007,C0005020,E00118,P000411,1,40.75,other,curbside,credit_card,True,unopened,False
RT00000178,SL00026113,TXN000026113,2025-05-18,S016,C0009541,E00133,P000374,1,26.75,defective,in_store,store_credit,True,damaged,True
RT00000179,SL00000822,TXN000000822,2025-10-19,S013,C0003229,E00124,P000492,1,15.95,defective,in_store,debit_card,True,defective,False
RT00000180,SL00035953,TXN000035953,2024-03-16,S018,C0005729,E00099,P000088,1,22.21,changed_mind,in_store,store_credit,True,opened,False
RT00000181,SL00036909,TXN000036909,2025-07-25,S019,C0006652,E00067,P000015,1,18.65,damaged,in_store,debit_card,True,damaged,True
RT00000182,SL00001312,TXN000001312,2024-06-15,S018,C0003502,E00008,P000488,1,28.86,damaged,in_store,cash,True,damaged,True
RT00000183,SL00039901,TXN000039901,2025-10-16,S011,C0002871,E00073,P000189,3,162.66,changed_mind,in_store,store_credit,True,unopened,True
RT00000184,SL00040613,TXN000040613,2025-08-03,S007,C0002479,E00118,P000103,3,50.7,duplicate_purchase,in_store,credit_card,True,defective,False
RT00000185,SL00012063,TXN000012063,2025-09-19,S003,C0008981,E00106,P000135,1,34.08,changed_mind,curbside,credit_card,False,damaged,True
RT00000186,SL00035489,TXN000035489,2024-05-08,S020,C0008433,E00061,P000474,1,14.95,not_as_described,in_store,store_credit,True,unopened,False
RT00000187,SL00039531,TXN000039531,2025-07-07,S011,C0008180,E00070,P000196,2,47.93,defective,curbside,debit_card,True,defective,False
RT00000188,SL00030166,TXN000030166,2025-07-04,S006,C0000074,E00098,P000386,3,49.44,duplicate_purchase,curbside,credit_card,True,unopened,False
RT00000189,SL00030191,TXN000030191,2025-09-13,S018,C0009273,E00044,P000370,1,150.47,wrong_size,in_store,store_credit,False,unopened,True
RT00000190,SL00021725,TXN000021725,2025-06-30,S008,C0006850,E00006,P000143,4,82.19,changed_mind,in_store,credit_card,True,damaged,True
RT00000191,SL00042462,TXN000042462,2025-07-28,S018,C0006847,E00099,P000198,2,56.07,not_as_described,curbside,debit_card,True,unopened,False
RT00000192,SL00002755,TXN000002755,2025-09-20,S003,C0004031,E00145,P000492,4,63.8,wrong_size,curbside,credit_card,True,unopened,False
RT00000193,SL00018194,TXN000018194,2026-02-04,S013,C0002920,E00124,P000001,2,43.86,changed_mind,in_store,store_credit,True,unopened,True
RT00000194,SL00017928,TXN000017928,2024-12-26,S008,C0003466,E00050,P000234,1,30.83,changed_mind,curbside,store_credit,True,damaged,True
RT00000195,SL00016093,TXN000016093,2024-09-23,S008,C0005380,E00050,P000352,1,16.17,changed_mind,mail,credit_card,True,missing_packaging,False
RT00000196,SL00007766,TXN000007766,2024-11-19,S016,C0000707,E00057,P000481,1,23.64,changed_mind,mail,credit_card,True,opened,False
RT00000197,SL00014100,TXN000014100,2024-06-12,S015,C0005601,E00058,P000469,1,14.17,changed_mind,mail,debit_card,True,opened,False
